Subject	Site	Sex	Group	Age	Date	Day	Condition	Number_boxes	Trial_number	P1P2_trial_correct	redundant_searches	P1_1st	P2_1st	P1_2nd	P1_2nd_c	P2_2nd	P2_2nd_c	P1_3rd	P1_3rd_c	P2_3rd	P2_3rd_c	P1_4th	P1_4th_c	P2_4th	P2_4th_c	P1_5th	P1_5th_c	P2_5th	P2_5th_c	P1_6th	P1_6th_c	P2_6th	P2_6th_c	P1_7th	P1_7th_c	Comment	number_retr_food	diff_score	P1P2_first4	P1_first4
Mwanzo	kenya	f	old chimps	22	13/10/2018	2	two_platform:identical_boxes	8	3	0	6	3	2	5	1	4	1	5	0	3	1	3	0	4	0	3	0	2	0	2	1	4	0				6	0	5	2
Mwanzo	kenya	f	old chimps	22	13/10/2018	2	two_platform:identical_boxes	8	4	0	6	3	4	5	1	2	1	5	0	4	0	5	0	4	0	4	1	4	0	4	0						5	1	4	2
Zee	kenya	m	old chimps	18	13/10/2018	2	two_platform:identical_boxes	8	1	0	6	4	5	4	0	5	0	5	1	2	1	4	0	5	0	5	0	5	0								4	2	4	2
Zee	kenya	m	old chimps	18	13/10/2018	2	two_platform:identical_boxes	8	2	0	6	5	5	5	0	5	0	5	0	2	1	5	0	5	0	4	1	5	0								4	2	3	1
Zee	kenya	m	old chimps	18	13/10/2018	2	two_platform:identical_boxes	8	3	0	6	5	3	4	1	5	1	5	0	5	0	4	0	5	0	4	0	5	0								4	2	4	2
Zee	kenya	m	old chimps	18	13/10/2018	2	two_platform:identical_boxes	8	4	0	6	5	5	5	0	5	0	4	1	5	0	3	1	5	0	5	0	3	1	4	0						5	1	4	3
Cheetah	kenya	f	old chimps	31	13/10/2018	2	two_platform:identical_boxes	8	1	0	4	3	2	2	1	4	1	4	1	5	1	3	0	5	0	4	0	4	0	5	1	3	1				8	-4	6	3
Cheetah	kenya	f	old chimps	31	13/10/2018	2	two_platform:identical_boxes	8	2	0	5	3	4	3	0	5	1	2	1	5	0	5	1	4	0	2	0	3	1	4	1	3	0				7	-2	5	3
Cheetah	kenya	f	old chimps	31	13/10/2018	2	two_platform:identical_boxes	8	3	0	4	3	4	3	0	5	1	2	1	4	0	5	1	2	1	5	0	3	1	3	0						7	-3	6	3
Cheetah	kenya	f	old chimps	31	13/10/2018	2	two_platform:identical_boxes	8	4	0	1	2	5	3	1	3	1	4	1	4	1	5	1	4	0												7	-6	7	4
Alikaka	kenya	m	old chimps	16	13/10/2018	2	two_platform:identical_boxes	8	1	0	6	4	3	4	0	5	1	3	1	5	0	2	1	3	0	3	0	3	0	3	0						5	1	5	3
Alikaka	kenya	m	old chimps	16	13/10/2018	2	two_platform:identical_boxes	8	2	0	6	5	5	4	1	4	1	5	0	4	0	5	0	3	1	2	1	4	0	2	0	3	0				6	0	5	2
Alikaka	kenya	m	old chimps	16	13/10/2018	2	two_platform:identical_boxes	8	3	0	4	4	5	2	1	4	1	5	1	4	0	4	0	4	0	3	1	5	0								6	-2	5	3
